"","F3","F1","F2","F4","Cluster","NUTS_ID1"
"1",0.31288336524363,0.586293447257937,0.925252401123883,-0.171049861557423,1,"AT11"
"2",0.513211118530239,0.724383335638882,1.01205664343591,-0.195022115010197,1,"AT12"
"3",0.856662658749442,0.556906984317687,0.145919091567542,1.29297700978229,1,"AT13"
"4",0.181909695843171,0.693880025273561,0.846077708859901,0.155216473259338,1,"AT21"
"5",0.431576721664613,0.701794320155909,0.800473861920656,0.510207594851707,1,"AT22"
"6",0.386409392894619,0.89367933440094,1.04652066518733,0.447058694702525,1,"AT31"
"7",0.501980741501286,0.864157929944032,0.782640174483691,1.22853330188194,1,"AT32"
"8",0.628588641234413,0.917804428774882,0.837841344199128,0.748742985362313,1,"AT33"
"9",0.311902532566294,0.89913955873049,1.12843794264209,-0.0912463861511328,1,"AT34"
"10",0.29947592958567,0.589207913672805,-0.289088563114273,0.15032084897545,1,"BE10"
"11",0.208265030334659,0.587735516492004,0.362962509883678,0.408462891694798,1,"BE21"
"12",0.180519317475659,0.67935296680791,0.377384079621239,0.635659004669896,1,"BE22"
"13",0.32358140245405,0.473287634501428,0.380797853920969,0.74527901193764,1,"BE23"
"14",0.437772291410521,0.709189527030573,0.437113165667509,0.749714120375738,1,"BE24"
"15",0.224163026547211,0.464658369514487,0.524409068357441,0.43553289001034,1,"BE25"
"16",0.226447915842103,0.559627825765908,0.191935931380463,-0.398276016294043,1,"BE31"
"17",-0.103914600478988,-0.136018397129457,0.0944986438704511,-0.447423867493147,1,"BE32"
"18",0.104639356401483,0.16863310150617,0.0815362724999199,-0.540477620676549,1,"BE33"
"19",-0.0107482224939062,0.140446843410921,0.247882558905727,0.279598867485377,1,"BE34"
"20",0.12370425454887,0.0270463059973871,0.0654525226529195,0.253719116388214,1,"BE35"
"21",-1.80842357770766,-3.36040528322899,-1.21571302118222,-2.11887468797287,2,"BG31"
"22",-1.42634131842198,-2.8192594042754,-1.13238818818666,-1.10281445012964,2,"BG32"
"23",-1.55273205515997,-2.96156477198625,-1.03510888981554,-1.40427677120548,2,"BG33"
