"","NUTS_ID1","Country","Region name","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Security","Access to Basic Knowledge","Access to ICT","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","cluster","cluster9","cluster21","gdp","ML3","ML1","ML2","ML4"
"1","AT11","AT","Burgenland",86.5297033663872,96.3370514071969,91.7538928769832,82.1491603232814,68.7001367437481,78.8366701331286,70.4840715028169,41.9841801315039,54.7191049025652,73.2619665901471,70.2710241554247,53.0594476819166,"1",1,1,26600,0.312883365246607,0.586293447258449,0.925252401124711,-0.171049861550059
"2","AT12","AT","Niederösterreich",88.4104981199781,96.2761352552676,90.7682773758265,76.8947885602114,62.7970715041801,84.0866701331286,70.3146739182488,43.7308794716069,54.8947722193836,75.431825000434,71.6272876965132,61.0200882848664,"1",1,1,31100,0.513211118532482,0.724383335639943,1.01205664343779,-0.195022114997291
"3","AT13","AT","Wien",84.5222566912009,95.973880379769,79.8975013599767,72.1369209434776,82.5264494802592,83.8366701331286,72.33700503722,31.041721027377,58.115481335519,72.3454343940873,70.5039135476292,99.2024570296368,"1",2,2,43700,0.856662658741556,0.556906984317572,0.145919091566029,1.29297700978611
"4","AT21","AT","Kärnten",87.7682706119558,97.1146816303099,91.5437506665116,84.7580498903056,72.8492307044167,77.9129151284573,73.2725780347048,45.7304009816072,49.4626351981763,75.4642741091221,67.1628091749367,63.3913588754525,"1",1,1,32600,0.181909695842833,0.693880025273812,0.846077708865117,0.155216473262072
"5","AT22","AT","Steiermark",88.1842735180559,96.9827609934686,89.1946231071818,84.3991939968907,73.9091874136589,77.4129151284573,71.6409520683952,41.0330319189371,57.1476603547128,76.0326670149686,68.3174352550962,74.5323817545753,"1",1,1,34500,0.431576721662641,0.7017943201563,0.800473861923709,0.510207594856561
"6","AT31","AT","Oberösterreich",89.6478118893487,97.4873934411542,92.6770134615825,81.8129159426051,74.9866197365917,82.2495252748561,74.6533879208195,43.4509876292512,55.6579494501781,77.9327441710299,67.7561714193458,63.4808209912718,"1",1,1,38700,0.386409392895712,0.893679334401346,1.04652066519037,0.447058694707743
"7","AT32","AT","Salzburg",88.6463426637942,97.0115552055015,88.8275354068209,80.4370691208683,90.7315216411994,80.9995252748561,76.4623877138254,49.636537847869,55.4331037648908,78.2088155985209,67.781506395025,74.0331505842682,"1",1,1,44800,0.501980741498915,0.864157929943502,0.782640174486231,1.22853330187748
"8","AT33","AT","Tirol",89.1379908730981,97.6951877690123,88.2594824829944,82.0128934371336,75.5179870989722,85.4995252748561,76.8342121591613,47.7948350223208,56.0230038072655,78.4103181471854,67.9587286476568,77.5265339656827,"1",1,1,39300,0.628588641232562,0.917804428775107,0.837841344202427,0.748742985369097
"9","AT34","AT","Vorarlberg",89.6281857822259,97.6062991099803,90.9772588676951,81.794168839835,62.6816942847785,81.4995252748561,76.0463159629775,45.4032721359454,55.2324659094867,78.5919719200176,68.0919293972907,58.3647480016249,"1",1,1,40600,0.311902532568501,0.899139558731216,1.12843794264835,-0.0912463861389345
"10","BE10","BE","Rég. de Bruxelles-Cap./Brussels Hfst. Gew.",85.8512993166776,92.543167194962,84.7151059604153,51.3418781093409,72.2819953649512,78.3020691093979,75.1373536500572,40.9035178512878,51.9066568174058,60.4092999606165,61.8704731287928,77.5713082350572,"1",2,2,60900,0.299475929582202,0.589207913672726,-0.289088563119292,0.150320848978933
"11","BE21","BE","Antwerpen",84.9971179946084,93.4873853106866,84.7151059604153,53.3640238882782,79.2781643738376,80.5379922872465,75.9562708366182,40.7845817659422,52.6495299947767,69.9404721232645,65.3348637231418,57.8829152998606,"1",1,3,43000,0.208265030334983,0.587735516491624,0.362962509884026,0.40846289169574
"12","BE22","BE","Limburg",86.5081072096979,93.4873853106866,84.7151059604153,53.3640238882782,86.7228394996081,79.7879922872465,75.8251291129191,46.597108381062,52.6495299947767,70.0225008668881,66.0563644446425,52.7605660060911,"1",1,3,29200,0.180519317476809,0.679352966807289,0.377384079620592,0.635659004665915
"13","BE23","BE","Oost-Vlaanderen",83.9463135245431,93.4873853106866,84.7151059604153,53.3640238882782,85.5595490703023,78.0379922872465,74.4680666882646,44.5997722635744,52.6495299947767,72.0066352512221,66.3593947476728,68.6258303586195,"1",1,3,33000,0.323581402451671,0.473287634500734,0.380797853922558,0.745279011933935
"14","BE24","BE","Vlaams-Brabant",86.2559374197806,93.4873853106866,84.7151059604153,53.3640238882782,82.8917514625122,82.7879922872465,76.8984188760316,45.1718703216639,52.6495299947767,73.0351486907135,67.2540556423337,70.9941380278713,"1",1,3,36500,0.437772291408308,0.709189527030137,0.437113165669167,0.749714120375258
"15","BE25","BE","West-Vlaanderen",84.1873800664245,93.4873853106866,84.7151059604153,53.3640238882782,82.5674879784891,79.5379922872465,73.5408013895299,48.1966718828781,52.6495299947767,71.8784415151666,66.7922951805732,51.8498954304914,"1",1,3,35200,0.224163026548805,0.464658369513984,0.524409068358452,0.435532890008943
"16","BE31","BE","Brabant Wallon",85.8505342506235,93.1182244278958,84.7151059604153,60.7359690562922,59.7651456882019,81.4194804477291,74.642544908864,47.8241990533321,44.9982067934883,67.7396901172356,64.5435520039928,72.3763611242958,"1",2,4,46500,0.226447915839596,0.55962782576641,0.191935931384513,-0.398276016284212
"17","BE32","BE","Hainaut",78.9964873725111,93.4219034765316,84.7151059604153,60.7359690562922,71.6060622303301,73.9194804477291,65.6994704102705,48.9120090797864,44.9982067934883,63.1391265142737,62.8696703301111,45.1400540982071,"1",1,3,22300,-0.103914600476773,-0.136018397129628,0.0944986438694899,-0.447423867492477
"18","BE33","BE","Liège",82.6114299260754,91.7129072296666,84.7151059604153,60.7359690562922,63.5345775715973,77.9194804477291,68.5165934983465,50.4326774201496,45.8870956823772,63.9398668777102,63.0428305032713,59.9854795225074,"1",2,4,25300,0.104639356401562,0.168633101506542,0.0815362725002325,-0.540477620670147
"19","BE34","BE","Luxembourg",83.8616812450169,86.1432882572588,84.7151059604153,60.7359690562922,87.3211419921327,78.6694804477291,64.7770499856037,56.5027396768508,44.9982067934883,67.3276282013619,62.768660229101,49.7084128146283,"1",1,3,22100,-0.0107482224924852,0.140446843410755,0.247882558906237,0.279598867475844
"20","BE35","BE","Namur",81.4316251198521,92.938525844273,84.7151059604153,60.7359690562922,83.5808436617925,76.6694804477291,64.8342152931045,53.1328674455982,44.9982067934883,65.0888813654908,64.4136818741226,59.0851713662,"1",1,3,24100,0.123704254548235,0.0270463059970797,0.0654525226508734,0.253719116382493
"21","BG31","BG","Severozapaden",50.2303341938982,59.5029605972776,63.5459112520458,59.1985985772423,60.0898309932576,48.5472572364689,31.5006838393985,31.8899027064951,27.7772456481067,48.1417625166804,37.1899626287862,17.3273384087948,"2",3,5,10800,-1.80842357770678,-3.36040528322918,-1.21571302116914,-2.11887468798674
"22","BG32","BG","Severen tsentralen",54.6580457269237,75.7893349368917,64.6901567024129,69.0481861515572,66.4979755797676,49.2899055488398,37.5255716869201,34.6087966051405,32.4993563999773,53.0957823678974,40.5031686986571,38.8330285290601,"2",3,5,11200,-1.42634131842502,-2.8192594042759,-1.13238818817587,-1.1028144501409
"23","BG33","BG","Severoiztochen",53.3515370623056,71.0330528197174,62.6531214917803,69.4552265107212,60.7832150887868,50.6942158645289,37.858623846129,39.3353000020685,29.030594597284,55.7035232556601,38.0572000703641,35.9603693618002,"2",3,5,12600,-1.55273205516274,-2.96156477198662,-1.03510888979902,-1.40427677121527
"24","BG34","BG","Yugoiztochen",51.854228951898,74.0696210704855,62.8014038207907,66.9732831979886,51.25450791255,52.9313847792637,36.2770629612637,33.1915264123541,30.0558607717857,46.6078887256231,40.1877048166723,23.4653983665834,"2",3,5,11700,-1.50092319729834,-3.03128236894335,-1.34657954835867,-2.05973301323705
"25","BG41","BG","Yugozapaden",68.7275757871967,81.6099228451556,59.3573106638402,47.8651855206372,85.5439304197159,61.0185331503515,47.9800006040663,20.3222718159786,30.9873483677577,63.1463889043579,46.2468672348133,57.1938820627106,"2",4,6,27800,-1.30952784212123,-1.49773718884915,-0.993453407868086,0.671737484576107
"26","BG42","BG","Yuzhen tsentralen",56.1575256929887,65.7078199703414,66.27493937781,71.3443905785958,60.3316376966235,49.4726665065302,41.432927202466,29.3186180859224,35.18545855775,55.6029916922926,45.4479996308923,29.1650989522989,"2",3,5,12000,-1.41841728064629,-2.62493077156306,-0.746453548183338,-1.70948291065613
"27","CY00","CY","Kýpros",91.2177016950192,78.252686796768,69.882110066341,71.8045392214834,65.2534203049889,73.1195652173913,72.0133928329433,30.4256285522516,35.4077275281406,57.3121077479231,53.9941817481955,59.4078216127783,"2",5,7,27100,-0.896887435079051,0.656555299956139,-0.857483473340762,-0.321379834469987
"28","CZ01","CZ","Praha",89.0547620115497,97.500316367376,85.4318715816511,68.1568339873136,94.339712029331,85.2223087743322,72.4709244484056,34.0888707942866,46.7587175421806,81.8004727780797,66.6858893953569,76.0025802168612,"1",2,2,61700,0.201106238429076,0.817301685557066,0.779318893479555,1.63282883507249
