"","Country","NUTS_ID","Region name","Basic Human Needs","Foundations of Well-Being","Opportunity","Aggregated Index"
"1","AT","AT11","Burgenland",89.1122829342367,64.1703351365835,62.5029772773374,71.4388484103165
"2","AT","AT12","Niederösterreich",87.9418765662637,64.3711606867326,65.4848196029855,72.2112800471738
"3","AT","AT13","Wien",82.9106336060981,65.2753704039184,74.3288262280926,73.9959053720071
"4","AT","AT21","Kärnten",90.2377154196438,66.7667581067322,63.5095283003737,73.0439887696934
"5","AT","AT22","Steiermark",89.6327263226553,65.0656277691276,68.7984336223391,74.1221418448452
"6","AT","AT31","Oberösterreich",90.3153845089519,67.9000284071353,65.9639476019463,74.3354769131375
"7","AT","AT32","Salzburg",88.633613848241,73.594440539765,68.5837402137067,76.7071938940617
"8","AT","AT33","Tirol",89.1897415436683,70.6255244451679,69.6742264353927,76.2422372875476
"9","AT","AT34","Vorarlberg",89.9131563280595,65.624316810887,64.7563495217136,72.9900908991686
"10","BE","BE10","Rég. de Bruxelles-Cap./Brussels Hfst. Gew.",77.6819210904571,65.6687132058618,62.6084696176747,68.5027126196164
"11","BE","BE21","Antwerpen",78.3111058560009,67.9787679253718,61.2702348853164,69.010738068591
"12","BE","BE22","Limburg",78.6725105475499,71.313347981739,60.1210188579181,69.8241294538482
"13","BE","BE23","Oost-Vlaanderen",78.0583686317856,69.6872101895695,64.6893278562056,70.7052204510192
"14","BE","BE24","Vlaams-Brabant",78.6123585624543,70.9530693818727,65.7263632314173,71.6669776071644
"15","BE","BE25","West-Vlaanderen",78.1164524533222,70.2371739534226,60.4796195629067,69.4221003661463
"16","BE","BE31","Brabant Wallon",80.6078249293261,65.2426233728867,61.9361630533471,69.0307836120722
"17","BE","BE32","Hainaut",78.9916864972987,64.6372323939569,53.6620640297259,65.3558775109906
"18","BE","BE33","Liège",79.4913918021502,64.7104852706186,57.9700385134526,67.0973032169057
"19","BE","BE34","Luxembourg",78.4834431892614,71.3155315991384,55.8251747139372,68.2031811035983
"20","BE","BE35","Namur",79.4853365128659,69.0542974804453,58.0961787193658,68.5994274732195
"21","BG","BG31","Severozapaden",58.0140575220196,42.1818127047739,31.5557673690079,43.2477248125602
"22","BG","BG32","Severen tsentralen",65.8181646377102,46.1857592757804,40.9066771489518,50.432167830271
"23","BG","BG33","Severoiztochen",63.9267299108661,46.720876286582,39.1163695879592,49.3974436140299
"24","BG","BG34","Yugoiztochen",63.66369619394,42.9643356339961,34.4944976184384,46.2711653632167
"25","BG","BG41","Yugozapaden",63.7876454982375,50.7485799791567,48.5678911107195,54.1675750641227
"26","BG","BG42","Yuzhen tsentralen",64.7516805432798,44.3973464392254,40.7377736081407,49.4330449469629
"27","CY","CY","Kýpros",77.5727550140433,58.6410219937142,51.0390064699053,61.9339681536285
"28","CZ","CZ01","Praha",84.6848994438508,69.2890149627332,67.1026576745529,73.4909760660886
"29","CZ","CZ02","Střední Čechy",85.2946273200359,67.424202124238,52.6283710078295,67.7947741277865
"30","CZ","CZ03","Jihozápad",85.480995334214,68.2065499538105,55.1451937011942,69.0577618496532
"31","CZ","CZ04","Severozápad",79.6318328201054,60.4069067004455,47.970971392658,61.9996816943492
"32","CZ","CZ05","Severovýchod",85.6406742640117,65.4305339367996,53.9712953833248,67.7310060160117
"33","CZ","CZ06","Jihovýchod",85.8764538535227,66.9246737843855,60.4336442145089,70.6810849711288
"34","CZ","CZ07","Střední Morava",85.453094979368,64.2175730489206,55.38732075391,67.7874316278193
"35","CZ","CZ08","Moravskoslezsko",82.5123953139516,58.5632026670476,55.7386027470402,65.0825244653774
"36","DE","DE11","Stuttgart",84.3391800452983,67.2656599022335,64.8299259517443,71.8929001035125
"37","DE","DE12","Karlsruhe",83.6705918259486,67.6667066659081,64.9452359848529,71.8651878554583
"38","DE","DE13","Freiburg",84.1088424254809,69.1264156309323,64.7620656443188,72.436015560669
"39","DE","DE14","Tübingen",84.0705728403485,69.479404144917,65.1177583399564,72.6698781436759
"40","DE","DE21","Oberbayern",86.0696364317224,67.8758907261788,65.6993787614852,72.940539915838
"41","DE","DE22","Niederbayern",86.1229707270995,66.4707454257024,59.7943878640876,70.3691058122199
"42","DE","DE23","Oberpfalz",87.7291637978277,66.93917179184,61.544662493204,71.6452867286287
"43","DE","DE24","Oberfranken",85.6638447215574,67.9499388411152,62.5313614835576,71.7201733556828
"44","DE","DE25","Mittelfranken",85.410971890888,66.1197688415468,62.9036294872223,71.145810699985
"45","DE","DE26","Unterfranken",87.4259649984347,68.4109069937196,63.6035151419619,72.7976127018181
"46","DE","DE27","Schwaben",87.1915684412635,67.8436622858155,61.1839026422846,71.6640297108563
"47","DE","DE30","Berlin",81.0748020600622,68.2503932133733,66.4742406080808,71.7900795016014
"48","DE","DE40","Brandenburg",84.6956923364281,66.7444135774141,60.2601566028088,70.199224563872
"49","DE","DE50","Bremen",78.5676194747837,71.480245058015,65.999608475283,71.9242575263286
"50","DE","DE60","Hamburg",83.8938530011655,71.8282779912443,70.670366171664,75.3486620623457
"51","DE","DE71","Darmstadt",83.5476085764166,66.6592585600004,63.699691985182,71.0433147671318
"52","DE","DE72","Gießen",84.4676454399078,68.1856353001432,64.2209431708479,72.0341738982161
"53","DE","DE73","Kassel",85.2682893240239,69.0205132775828,62.0574047691616,71.7950831503381
"54","DE","DE80","Mecklenburg-Vorpommern",81.8027579323207,69.6845554926767,57.6488933101918,69.3605925781826
"55","DE","DE91","Braunschweig",85.4582555158311,71.5582452455998,62.802128451272,72.9791671003434
"56","DE","DE92","Hannover",84.9681339566932,70.4052983888541,62.2511990913981,72.2417583082924
"57","DE","DE93","Lüneburg",84.4280040664324,71.6182336154814,60.7917661257632,71.9563938570759
"58","DE","DE94","Weser-Ems",85.3982057922573,71.043930605527,59.618330618905,71.6345668010192
